address,Year_built,Beds,Baths,Sqft,Lotsize,Price,Link
"
5896 S Copper Hills Drive,
    
Tucson,

Pima County,

AZ
85747",22119233,5,4,"4,071","Contemporary, Contemporary","
                $569,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Tucson/Civano/5896-S-Copper-Hills-Drive/109776865.html
"
7324 W St Catherine Ave ,
    
Laveen,

Maricopa County,

AZ
85339","
                                ",4,2,"1,914",2007,"
                $365,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Laveen/7324-W-St-Catherine-Ave-/109709101.html
"
11 COUNTY RD. 2069 LOT 83, AVE,
    
Escudilla,

Apache County,

AZ
85920",236793,2,2,"1,440","Cabin, Single Level","
                $397,500 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Springerville-Fort-Apache/Escudilla/11-COUNTY-RD-2069/109752431.html
"
9512 N Albatross Drive,
    
Tortolita,

Pima County,

AZ
85742",22031387,4,3,"1,930","Contemporary, Contemporary","
                $289,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Baja-Arizona/Tortolita/9512-N-Albatross-Drive/109776873.html
"
816 Chureo Street,
    
Prescott,

Yavapai County,

AZ
86301",1039887,2,3,"2,246","Contemporary, Contemporary","
                $829,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Prescott-CCD/816-Chureo-Street/108491670.html
"
704 W Rim Road,
    
Pinetop - Lakeside,

Navajo County,

AZ
85929",236802,2,2,"1,237","Cabin, Multi-Level","
                $350,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Pinetop-Lakeside/704-W-Rim-Road/109752421.html
"
23936 S STONEY LAKE Drive,
    
Sun Lakes,

Maricopa County,

AZ
85248",2003,4,3,"3,435",0.175 Ac,"
                $875,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Chandler/23936-S-STONEY-LAKE-Drive/109759324.html
"
964 W HOPI Drive,
    
Coolidge,

Pinal County,

AZ
85128",6270481,3,2,"1,570","Ranch, Ranch","
                $258,500 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Coolidge/964-W-HOPI-Drive/109756814.html
"
8142 S Circle S Ranch Place,
    
Rincon Valley,

Pima County,

AZ
85641",22118913,3,3,"2,488","Contemporary, Contemporary, Santa Fe","
                $650,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Baja-Arizona/Coronado/8142-S-Circle-S-Ranch-Place/109776888.html
"
18050 W CAROL Avenue,
    
Waddell,

Maricopa County,

AZ
85355",6270354,5,3,"2,318","Ranch, Ranch","
                $430,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Waddell/18050-W-CAROL-Avenue/109756893.html
"
4115 E WAGONER Road,
    
Phoenix,

Maricopa County,

AZ
85032",6270326,3,2,"1,613","Ranch, Ranch","
                $362,500 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Phoenix/Paradise-Valley-Village/4115-E-WAGONER-Road/109756726.html
"
7024 W TOWNLEY Avenue,
    
Peoria,

Maricopa County,

AZ
85345",2021,4,3,"2,608",0.145 Ac,"
                $499,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Peoria/Foxfire/7024-W-TOWNLEY-Avenue/109756982.html
"
2036 E JULIAN Drive,
    
Casa Grande,

Pinal County,

AZ
85122",2021,4,2,"1,880",0.216 Ac,"
                $345,990 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Casa-Grande/2036-E-JULIAN-Drive/109756581.html
"
7636 E Buena Vista Drive,
    
Prescott Valley,

Yavapai County,

AZ
86314",1040123,3,2,"1,286","Contemporary, Contemporary","
                $355,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Prescott-Valley/7636-E-Buena-Vista-Drive/108768022.html
"
16610 South 37th Way ,
    
Phoenix,

Maricopa County,

AZ
85048","
                                ",5,3,"3,250",1992,"
                $700,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Phoenix/Ahwatukee-Foothills/16610-South-37th-Way-/109599204.html
"
3825 N Santa Cruz Road,
    
Golden Valley,

Mohave County,

AZ
86413",1973,3,2,"1,050",1 Ac,"
                $105,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Golden-Valley/3825-N-Santa-Cruz-Road/109752125.html
