Price,address,Local_area,zipcode,latitude,longitude,beds,baths,sqft,url
"$199,000",2743 S 17th Ave,Yuma,85364,32.677621,-114.637577,3 bds,2 ba,"1,254",https://www.zillow.com/homedetails/2743-S-17th-Ave-Yuma-AZ-85364/8798853_zpid/
"$250,000",9650 S Leon Ranch Rd,Vail,85641,32.077022,-110.715771,3 bds,2 ba,"1,815",https://www.zillow.com/homedetails/9650-S-Leon-Ranch-Rd-Vail-AZ-85641/52486306_zpid/
"$299,900",2678 E Turkey Run Rd,Pinetop,85935,34.116108,-109.9203,2 bds,1 ba,645,https://www.zillow.com/homedetails/2678-E-Turkey-Run-Rd-Pinetop-AZ-85935/8413059_zpid/
"$449,000",223 Pineveta Rd,Ash Fork,86320,35.26785,-112.620758,2 bds,3 ba,"1,729",https://www.zillow.com/homedetails/223-Pineveta-Rd-Ash-Fork-AZ-86320/2093856622_zpid/
"$132,000",325 Pennsylvania Ave,Patagonia,85624,31.541936,-110.755206,2 bds,1 ba,"1,088",https://www.zillow.com/homedetails/325-Pennsylvania-Ave-Patagonia-AZ-85624/2112765700_zpid/
"$799,000",1032 E Wagon Wheel Dr,Prescott,86303,34.476651,-112.444229,2 bds,3 ba,"2,278",https://www.zillow.com/homedetails/1032-E-Wagon-Wheel-Dr-Prescott-AZ-86303/82017057_zpid/
"$850,000",3419 N 63rd Pl,Scottsdale,85251,33.488278,-111.945261,3 bds,2 ba,"2,230",https://www.zillow.com/homedetails/3419-N-63rd-Pl-Scottsdale-AZ-85251/7567830_zpid/
"$292,200",25738 W Saint Catherine Ave,Buckeye,85326,33.388083,-112.604433,3 bds,2 ba,"1,326",https://www.zillow.com/homedetails/25738-W-Saint-Catherine-Ave-Buckeye-AZ-85326/67797513_zpid/
"$335,000",45025 N Zorrillo Dr,Phoenix,85087,33.894339,-112.079756,4 bds,2 ba,"2,178",https://www.zillow.com/homedetails/45025-N-Zorrillo-Dr-Phoenix-AZ-85087/7928633_zpid/
"$530,000",22610 N Via Tercero,Sun City West,85375,33.690293,-112.375373,3 bds,3 ba,"2,525",https://www.zillow.com/homedetails/22610-N-Via-Tercero-Sun-City-West-AZ-85375/8121773_zpid/
"$310,000",8129 S Carbury Way,Tucson,85747,32.104736,-110.789896,3 bds,2 ba,"1,738",https://www.zillow.com/homedetails/8129-S-Carbury-Way-Tucson-AZ-85747/8580616_zpid/
"$239,000",170 County Road 3158,Vernon,85940,34.267568,-109.715968,2 bds,2 ba,"1,340",https://www.zillow.com/homedetails/170-County-Road-3158-Vernon-AZ-85940/2070529249_zpid/
"$355,900",41175 N Rose Ln,San Tan Valley,85140,33.253076,-111.546458,4 bds,2 ba,"2,000",https://www.zillow.com/homedetails/41175-N-Rose-Ln-San-Tan-Valley-AZ-85140/67434569_zpid/
"$379,900",11423 W Crimson Ln,Avondale,85392,33.489071,-112.306021,4 bds,3 ba,"2,205",https://www.zillow.com/homedetails/11423-W-Crimson-Ln-Avondale-AZ-85392/7472490_zpid/
"$295,000",7044 S Petrel Ln,Tucson,85756,32.124402,-110.867687,4 bds,3 ba,"2,889",https://www.zillow.com/homedetails/7044-S-Petrel-Ln-Tucson-AZ-85756/67134062_zpid/
"$850,000",11781 N Luzon Ct,Tucson,85737,32.420817,-111.009521,5 bds,3 ba,"3,637",https://www.zillow.com/homedetails/11781-N-Luzon-Ct-Tucson-AZ-85737/239253685_zpid/
"$120,000",400 W Baseline Rd SPACE 212,Tempe,85283,33.37831,-111.94438,3 bds,2 ba,"1,500",https://www.zillow.com/homedetails/400-W-Baseline-Rd-SPACE-212-Tempe-AZ-85283/2070520505_zpid/
"$350,000",16327 W Latham St,Goodyear,85338,33.4579,-112.409925,3 bds,3 ba,"1,773",https://www.zillow.com/homedetails/16327-W-Latham-St-Goodyear-AZ-85338/240305895_zpid/
"$427,000",2331 W Darrel Rd,Phoenix,85041,33.384224,-112.109511,3 bds,3 ba,"2,055",https://www.zillow.com/homedetails/2331-W-Darrel-Rd-Phoenix-AZ-85041/58883276_zpid/
"$515,000",4647 S Romano,Mesa,85212,33.330458,-111.596431,4 bds,2 ba,"2,302",https://www.zillow.com/homedetails/4647-S-Romano-Mesa-AZ-85212/88795482_zpid/
"$449,000",3257 E Silversmith Trl,San Tan Valley,85143,33.161034,-111.532331,4 bds,2 ba,"2,199",https://www.zillow.com/homedetails/3257-E-Silversmith-Trl-San-Tan-Valley-AZ-85143/67436503_zpid/
"$619,900",7233 W Via Montoya Dr,Glendale,85310,33.685902,-112.212182,5 bds,2 ba,"2,394",https://www.zillow.com/homedetails/7233-W-Via-Montoya-Dr-Glendale-AZ-85310/7881218_zpid/
"$385,000",13036 N 56th Ave,Glendale,85304,33.602002,-112.176813,3 bds,2 ba,"1,916",https://www.zillow.com/homedetails/13036-N-56th-Ave-Glendale-AZ-85304/7896784_zpid/
"$475,000",2706 W Monte Ave,Mesa,85202,33.368209,-111.89186,3 bds,2 ba,"1,649",https://www.zillow.com/homedetails/2706-W-Monte-Ave-Mesa-AZ-85202/8251209_zpid/
"$115,000",2310 E Lass Ave,Kingman,86409,35.262299,-114.024617,3 bds,2 ba,"1,040",https://www.zillow.com/homedetails/2310-E-Lass-Ave-Kingman-AZ-86409/8385069_zpid/
"$294,000",37683 W Bello Ln,Maricopa,85138,33.041808,-111.972331,3 bds,2 ba,"1,556",https://www.zillow.com/homedetails/37683-W-Bello-Ln-Maricopa-AZ-85138/185847873_zpid/
"$720,000",6155 N 186th Ave,Waddell,85355,33.525818,-112.459638,4 bds,3 ba,"2,542",https://www.zillow.com/homedetails/6155-N-186th-Ave-Waddell-AZ-85355/8307705_zpid/
"$319,000",2092 Roy Rogers Way,Kingman,86409,35.232456,-114.028888,3 bds,2 ba,"1,763",https://www.zillow.com/homedetails/2092-Roy-Rogers-Way-Kingman-AZ-86409/67815108_zpid/
"$360,000",201 Johnson Ln,Young,85554,34.102832,-110.957417,7 bds,4 ba,"3,050",https://www.zillow.com/homedetails/201-Johnson-Ln-Young-AZ-85554/2069612241_zpid/
"$390,000",8801 W Edgemont Ave,Phoenix,85037,33.479013,-112.24901,4 bds,3 ba,"2,212",https://www.zillow.com/homedetails/8801-W-Edgemont-Ave-Phoenix-AZ-85037/7473764_zpid/
"$330,000",968 Calle Robalo,Rio Rico,85648,31.446286,-110.993164,4 bds,3 ba,"2,422",https://www.zillow.com/homedetails/968-Calle-Robalo-Rio-Rico-AZ-85648/108311391_zpid/
"$325,000",46 County Road 8149,Concho,85924,34.312374,-109.845897,3 bds,2 ba,"1,792",https://www.zillow.com/homedetails/46-County-Road-8149-Concho-AZ-85924/2069525935_zpid/
"$199,900",5605 E Labrador Ln,Hereford,85615,31.452735,-110.232533,4 bds,3 ba,"2,230",https://www.zillow.com/homedetails/5605-E-Labrador-Ln-Hereford-AZ-85615/304675969_zpid/
"$595,000",6410 W Avenida Del Rey,Phoenix,85083,33.716501,-112.198445,5 bds,3 ba,"3,126",https://www.zillow.com/homedetails/6410-W-Avenida-Del-Rey-Phoenix-AZ-85083/7925950_zpid/
"$425,000",27 County Road 2048,Alpine,85920,33.855325,-109.165714,2 bds,2 ba,"1,557",https://www.zillow.com/homedetails/27-County-Road-2048-Alpine-AZ-85920/7347823_zpid/
"$160,000",4445 E Accidental Ln,Prescott,86303,34.446918,-112.386995,4 bds,4 ba,"3,600",https://www.zillow.com/homedetails/4445-E-Accidental-Ln-Prescott-AZ-86303/8752361_zpid/
"$794,900",1573 Gettysvue Way,Prescott,86301,34.580746,-112.439281,3 bds,3 ba,"2,532",https://www.zillow.com/homedetails/1573-Gettysvue-Way-Prescott-AZ-86301/55632469_zpid/
"$489,900",4716 E Cloudburst Dr,Gilbert,85297,33.274417,-111.687898,4 bds,2 ba,"1,773",https://www.zillow.com/homedetails/4716-E-Cloudburst-Dr-Gilbert-AZ-85297/61630363_zpid/
"$225,000",132 E Taylor Ave,Coolidge,85128,32.96199,-111.514814,4 bds,2 ba,"1,209",https://www.zillow.com/homedetails/132-E-Taylor-Ave-Coolidge-AZ-85128/185785356_zpid/
"$270,000",17232 N 16th Ave,Phoenix,85023,33.643018,-112.093449,3 bds,2 ba,"1,106",https://www.zillow.com/homedetails/17232-N-16th-Ave-Phoenix-AZ-85023/7965122_zpid/
"$315,000",1528 W Corona Ave,Phoenix,85041,33.40582,-112.091737,4 bds,2 ba,"1,350",https://www.zillow.com/homedetails/1528-W-Corona-Ave-Phoenix-AZ-85041/7501977_zpid/
"$140,000",11383 N Dill St,Portal,85632,31.75506,-109.05017,3 bds,2 ba,"1,680",https://www.zillow.com/homedetails/11383-N-Dill-St-Portal-AZ-85632/2129870458_zpid/
"$1,520,000",3139 E Bellflower Ct,Gilbert,85298,33.212359,-111.721858,5 bds,4 ba,"5,003",https://www.zillow.com/homedetails/3139-E-Bellflower-Ct-Gilbert-AZ-85298/95186279_zpid/
"$329,990",2539 E Camino St,Mesa,85213,33.424427,-111.776109,3 bds,2 ba,"1,306",https://www.zillow.com/homedetails/2539-E-Camino-St-Mesa-AZ-85213/7636781_zpid/
"$303,000",10219 W Luxton Ln,Tolleson,85353,33.405644,-112.278942,3 bds,2 ba,"1,397",https://www.zillow.com/homedetails/10219-W-Luxton-Ln-Tolleson-AZ-85353/71619063_zpid/
"$455,000",2691 Saratoga Ave,Lake Havasu City,86406,34.473606,-114.306437,3 bds,3 ba,"2,571",https://www.zillow.com/homedetails/2691-Saratoga-Ave-Lake-Havasu-City-AZ-86406/8330930_zpid/
"$359,000",3215 E Menadota Dr,Phoenix,85050,33.668955,-112.013069,3 bds,2 ba,"1,012",https://www.zillow.com/homedetails/3215-E-Menadota-Dr-Phoenix-AZ-85050/7992720_zpid/
"$365,000",1527 W 2nd St,Mesa,85201,33.418657,-111.864231,3 bds,2 ba,"1,322",https://www.zillow.com/homedetails/1527-W-2nd-St-Mesa-AZ-85201/7610624_zpid/
"$1,525,000",1015 E Hattie Greene,Flagstaff,86001,35.23316,-111.636457,4 bds,3 ba,"3,423",https://www.zillow.com/homedetails/1015-E-Hattie-Greene-Flagstaff-AZ-86001/64953738_zpid/
"$239,000",8594 N Cantora Way,Tucson,85743,32.363208,-111.117093,3 bds,2 ba,"1,118",https://www.zillow.com/homedetails/8594-N-Cantora-Way-Tucson-AZ-85743/8640301_zpid/
"$675,000",29103 N 152nd Dr,Surprise,85387,33.746562,-112.388677,3 bds,3 ba,"2,835",https://www.zillow.com/homedetails/29103-N-152nd-Dr-Surprise-AZ-85387/64669613_zpid/
"$300,000",6426 E Boldin Dr,Tucson,85756,32.106529,-110.855259,4 bds,3 ba,"2,173",https://www.zillow.com/homedetails/6426-E-Boldin-Dr-Tucson-AZ-85756/97415860_zpid/
"$269,900",3018 W Laquila Aerie,Tucson,85742,32.365612,-111.032017,3 bds,2 ba,"1,485",https://www.zillow.com/homedetails/3018-W-Laquila-Aerie-Tucson-AZ-85742/8631796_zpid/
